genus_species,Order,Suborder,Family,Subfamily,Genus,Species,mod_tiplabel,SVL_mm,Mass_g,rootmass,ED_right_mm,ED_left_mm,eyemean,CD_right_mm,CD_left_mm,cormean,Adult_habitat,Activity_period,Mating_habitat,Life_history,Larval_habitat,Sex_dichromatism
Altiphrynoides_osgoodi,Anura,Neobatrachia,Bufonidae,NA,Altiphrynoides,osgoodi,Altiphrynoides_osgoodi_Bufonidae,47.4,9.9,2.147229169018941,5,4.7,4.85,4,3.5,3.75,Ground-dwelling,Nocturnal,Ground,Free-living larvae,Lentic water,Absent
Altiphrynoides_osgoodi,Anura,Neobatrachia,Bufonidae,NA,Altiphrynoides,osgoodi,Altiphrynoides_osgoodi_Bufonidae,35.1,4.6,1.6631034988407656,4.2,3.8,4,3.2,3.4,3.3,Ground-dwelling,Nocturnal,Ground,Free-living larvae,Lentic water,Absent
Alytes_obstetricans,Anura,Archaeobatrachia,Alytidae,NA,Alytes,obstetricans,Alytes_obstetricans_Alytidae,35.6,6,1.8171205928321397,6.6,6.1,6.35,4.4,4.7,4.550000000000001,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lentic water,Absent
Alytes_obstetricans,Anura,Archaeobatrachia,Alytidae,NA,Alytes,obstetricans,Alytes_obstetricans_Alytidae,35.5,5,1.7099759466766968,5.1,5.8,5.449999999999999,4.1,4.5,4.3,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lentic water,Absent
Alytes_obstetricans,Anura,Archaeobatrachia,Alytidae,NA,Alytes,obstetricans,Alytes_obstetricans_Alytidae,41.3,9,2.080083823051904,7.3,7.3,7.3,5.4,5.7,5.550000000000001,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lentic water,Absent
Amietia_angolensis,Anura,Neobatrachia,Pyxicephalidae,Cacosterninae,Amietia,angolensis,Amietia_angolensis_Pyxicephalidae,74.8,35.1,3.2741786491833174,9.4,9.1,9.25,7.3,7.3,7.3,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Amietia_angolensis,Anura,Neobatrachia,Pyxicephalidae,Cacosterninae,Amietia,angolensis,Amietia_angolensis_Pyxicephalidae,70.7,33.9,3.236432592364575,9.5,8.3,8.9,6.5,6.6,6.55,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Amietia_angolensis,Anura,Neobatrachia,Pyxicephalidae,Cacosterninae,Amietia,angolensis,Amietia_angolensis_Pyxicephalidae,71.1,30.5,3.124399884763122,7.7,8.6,8.15,7,6.6,6.8,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Amolops_ricketti,Anura,Neobatrachia,Ranidae,NA,Amolops,ricketti,Amolops_ricketti_Ranidae,46,9.8,2.139974961130159,6.3,6.1,6.199999999999999,4.9,5.3,5.1,Semiaquatic,Both,Lotic water,Free-living larvae,Lotic water,Absent
Amolops_ricketti,Anura,Neobatrachia,Ranidae,NA,Amolops,ricketti,Amolops_ricketti_Ranidae,52.4,11.3,2.24401702659183,6.9,7,6.95,5.2,5.2,5.2,Semiaquatic,Both,Lotic water,Free-living larvae,Lotic water,Absent
Amolops_ricketti,Anura,Neobatrachia,Ranidae,NA,Amolops,ricketti,Amolops_ricketti_Ranidae,54.5,14.7,2.4496598167132055,7.9,8.1,8,6.3,6.4,6.35,Semiaquatic,Both,Lotic water,Free-living larvae,Lotic water,Absent
Anaxyrus_cognatus,Anura,Neobatrachia,Bufonidae,NA,Anaxyrus,cognatus,Anaxyrus_cognatus_Bufonidae,51.5,20.9,2.7545379620266495,8.4,7.7,8.05,6,5.3,5.65,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anaxyrus_cognatus,Anura,Neobatrachia,Bufonidae,NA,Anaxyrus,cognatus,Anaxyrus_cognatus_Bufonidae,52.8,19.7,2.70077709684987,7.7,7.7,7.7,5.2,4.9,5.050000000000001,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anaxyrus_cognatus,Anura,Neobatrachia,Bufonidae,NA,Anaxyrus,cognatus,Anaxyrus_cognatus_Bufonidae,56,28.8,3.0652377295742124,8.8,8.4,8.600000000000001,5.2,5.5,5.35,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anaxyrus_punctatus,Anura,Neobatrachia,Bufonidae,NA,Anaxyrus,punctatus,Anaxyrus_punctatus_Bufonidae,50.9,16.7,2.5560665504814426,7.1,6.9,7,5.3,5.6,5.449999999999999,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anaxyrus_punctatus,Anura,Neobatrachia,Bufonidae,NA,Anaxyrus,punctatus,Anaxyrus_punctatus_Bufonidae,49,8.6,2.0487996145182663,5.6,5.3,5.449999999999999,4.1,4.3,4.199999999999999,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anaxyrus_punctatus,Anura,Neobatrachia,Bufonidae,NA,Anaxyrus,punctatus,Anaxyrus_punctatus_Bufonidae,48.2,8.2,2.0165296752181043,6.1,5.5,5.8,4.3,4.4,4.35,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Anodonthyla_boulengerii,Anura,Neobatrachia,Microhylidae,NA,Anodonthyla,boulengerii,Anodonthyla_boulengerii_Microhylidae,19,0.4,0.7368062997280773,2.4,2.2,2.3,NA,NA,NA,Scansorial,Nocturnal,Plants,Free-living larvae,Lotic water,Absent
Aplastodiscus_albofrenatus,Anura,Neobatrachia,Hylidae,Cophomantinae,Aplastodiscus,albofrenatus,Aplastodiscus_albofrenatus_Hylidae,38.4,2.6,1.375068867074141,5.6,5.7,5.65,3.8,3.8,3.8,Scansorial,NA,NA,NA,NA,NA
Aplastodiscus_albofrenatus,Anura,Neobatrachia,Hylidae,Cophomantinae,Aplastodiscus,albofrenatus,Aplastodiscus_albofrenatus_Hylidae,37.8,2.6,1.375068867074141,5.4,4.9,5.15,3.5,3.7,3.6,Scansorial,NA,NA,NA,NA,NA
Arthroleptis_poecilonotus,Anura,Neobatrachia,Arthroleptidae,NA,Arthroleptis,poecilonotus,Arthroleptis_poecilonotus_Arthroleptidae,27.1,2.6,1.375068867074141,4,3.8,3.9,2.9,3.2,3.05,Subfossorial,Both,Plants,No free-living larvae,No larvae,Absent
Arthroleptis_poecilonotus,Anura,Neobatrachia,Arthroleptidae,NA,Arthroleptis,poecilonotus,Arthroleptis_poecilonotus_Arthroleptidae,26.9,2.5,1.3572088082974532,3.9,3.1,3.5,3.7,3.3,3.5,Subfossorial,Both,Plants,No free-living larvae,No larvae,Absent
Arthroleptis_poecilonotus,Anura,Neobatrachia,Arthroleptidae,NA,Arthroleptis,poecilonotus,Arthroleptis_poecilonotus_Arthroleptidae,27.1,2.3,1.3200061217959123,4.1,3.8,3.9499999999999997,3.2,3.1,3.1500000000000004,Subfossorial,Both,Plants,No free-living larvae,No larvae,Absent
Arthroleptis_variabilis,Anura,Neobatrachia,Arthroleptidae,NA,Arthroleptis,variabilis,Arthroleptis_variabilis_Arthroleptidae,35.8,4.6,1.6631034988407656,4.7,4.7,4.7,4.3,4,4.15,Subfossorial,NA,Ground,No free-living larvae,No larvae,Absent
Arthroleptis_variabilis,Anura,Neobatrachia,Arthroleptidae,NA,Arthroleptis,variabilis,Arthroleptis_variabilis_Arthroleptidae,39.1,5.4,1.7544106429277195,5.3,4.4,4.85,5.3,4.4,4.85,Subfossorial,NA,Ground,No free-living larvae,No larvae,Absent
Arthroleptis_variabilis,Anura,Neobatrachia,Arthroleptidae,NA,Arthroleptis,variabilis,Arthroleptis_variabilis_Arthroleptidae,40.3,6.6,1.8757774553669033,5.1,4.3,4.699999999999999,5.4,4.4,4.9,Subfossorial,NA,Ground,No free-living larvae,No larvae,Absent
Ascaphus_truei,Anura,Archaeobatrachia,Ascaphidae,NA,Ascaphus,truei,Ascaphus_truei_Ascaphidae,41.2,8,2,5.9,6.4,6.15,4.4,4.8,4.6,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Ascaphus_truei,Anura,Archaeobatrachia,Ascaphidae,NA,Ascaphus,truei,Ascaphus_truei_Ascaphidae,39.8,6,1.8171205928321397,5.5,5.1,5.3,4.2,4.4,4.300000000000001,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Ascaphus_truei,Anura,Archaeobatrachia,Ascaphidae,NA,Ascaphus,truei,Ascaphus_truei_Ascaphidae,38.7,5,1.7099759466766968,5.5,5.5,5.5,3.8,4,3.9,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Ascaphus_truei,Anura,Archaeobatrachia,Ascaphidae,NA,Ascaphus,truei,Ascaphus_truei_Ascaphidae,36.1,5,1.7099759466766968,5.3,5.5,5.4,4.3,4.3,4.3,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Astylosternus_montanus,Anura,Neobatrachia,Arthroleptidae,NA,Astylosternus,montanus,Astylosternus_montanus_Arthroleptidae,54.2,19.6,2.69619949977585,7.5,7.6,7.55,5.7,5.4,5.550000000000001,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lotic water,NA
Astylosternus_montanus,Anura,Neobatrachia,Arthroleptidae,NA,Astylosternus,montanus,Astylosternus_montanus_Arthroleptidae,44.4,11.9,2.2830512139525267,6,6.1,6.05,4.6,4.7,4.65,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lotic water,NA
Astylosternus_montanus,Anura,Neobatrachia,Arthroleptidae,NA,Astylosternus,montanus,Astylosternus_montanus_Arthroleptidae,44.5,10.6,2.196689235027742,6.3,6.3,6.3,5.3,5.1,5.199999999999999,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lotic water,NA
Atelopus_senex,Anura,Neobatrachia,Bufonidae,NA,Atelopus,senex,Atelopus_senex_Bufonidae,27.7,1.6,1.1696070952851465,3.8,3.4,3.5999999999999996,2.8,2.8,2.8,Ground-dwelling,Diurnal,Lotic water,Free-living larvae,Lotic water,Present
Atelopus_senex,Anura,Neobatrachia,Bufonidae,NA,Atelopus,senex,Atelopus_senex_Bufonidae,29.5,1.5,1.1447142425533319,3.9,3.7,3.8,2.9,2.8,2.8499999999999996,Ground-dwelling,Diurnal,Lotic water,Free-living larvae,Lotic water,Present
Atelopus_senex,Anura,Neobatrachia,Bufonidae,NA,Atelopus,senex,Atelopus_senex_Bufonidae,26.9,1.5,1.1447142425533319,3.5,3.3,3.4,3.1,2.8,2.95,Ground-dwelling,Diurnal,Lotic water,Free-living larvae,Lotic water,Present
Aubria_subsigillata,Anura,Neobatrachia,Pyxicephalidae,Pyxicephalinae,Aubria,subsigillata,Aubria_subsigillata_Pyxicephalidae,82.8,44.5,3.543670530750377,9.3,9.2,9.25,7.6,6.9,7.25,Aquatic,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Aubria_subsigillata,Anura,Neobatrachia,Pyxicephalidae,Pyxicephalinae,Aubria,subsigillata,Aubria_subsigillata_Pyxicephalidae,86,38.5,3.37665670834691,11.3,10.6,10.95,8.8,7.7,8.25,Aquatic,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Aubria_subsigillata,Anura,Neobatrachia,Pyxicephalidae,Pyxicephalinae,Aubria,subsigillata,Aubria_subsigillata_Pyxicephalidae,99,108,4.762203155904598,11.8,11.7,11.75,7.8,7.9,7.85,Aquatic,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Barbourula_busuangensis,Anura,Archaeobatrachia,Bombinatoridae,NA,Barbourula,busuangensis,Barbourula_busuangensis_Bombinatoridae,85.1,51,3.708429769266189,10.1,11.6,10.85,8.1,7.9,8,Aquatic,Nocturnal,Lotic water,NA,NA,Absent
Barbourula_busuangensis,Anura,Archaeobatrachia,Bombinatoridae,NA,Barbourula,busuangensis,Barbourula_busuangensis_Bombinatoridae,65.8,27,3,9.3,9.2,9.25,7.1,7.3,7.199999999999999,Aquatic,Nocturnal,Lotic water,NA,NA,Absent
Barbourula_busuangensis,Anura,Archaeobatrachia,Bombinatoridae,NA,Barbourula,busuangensis,Barbourula_busuangensis_Bombinatoridae,46,11,2.2239800905693152,7.5,6.6,7.05,5.1,5.3,5.199999999999999,Aquatic,Nocturnal,Lotic water,NA,NA,Absent
Barbourula_busuangensis,Anura,Archaeobatrachia,Bombinatoridae,NA,Barbourula,busuangensis,Barbourula_busuangensis_Bombinatoridae,41,8,2,NA,5.8,5.8,NA,4.3,4.3,Aquatic,Nocturnal,Lotic water,NA,NA,Absent
Barycholos_pulcher,Anura,Neobatrachia,Craugastoridae,Holoadeninae,Barycholos,pulcher,Barycholos_pulcher_Strabomantidae,24.7,2.2,1.300591446851387,3.3,3,3.15,3.2,2.8,3,Subfossorial,NA,Ground,No free-living larvae,No larvae,NA
Barycholos_pulcher,Anura,Neobatrachia,Craugastoridae,Holoadeninae,Barycholos,pulcher,Barycholos_pulcher_Strabomantidae,25.3,2,1.2599210498948732,3.5,3.4,3.45,2.8,3,2.9,Subfossorial,NA,Ground,No free-living larvae,No larvae,NA
Barycholos_pulcher,Anura,Neobatrachia,Craugastoridae,Holoadeninae,Barycholos,pulcher,Barycholos_pulcher_Strabomantidae,22.9,1.7,1.193483191927337,2.9,2.7,2.8,2.5,2.5,2.5,Subfossorial,NA,Ground,No free-living larvae,No larvae,NA
Batrachyla_leptopus,Anura,Neobatrachia,Batrachylidae,NA,Batrachyla,leptopus,Batrachyla_leptopus_Batrachylidae,29.7,2,1.2599210498948732,4.2,4.3,4.25,3.5,3.5,3.5,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,NA,Absent
Batrachyla_leptopus,Anura,Neobatrachia,Batrachylidae,NA,Batrachyla,leptopus,Batrachyla_leptopus_Batrachylidae,29.8,3,1.4422495703074083,4.6,4.4,4.5,3.8,3.7,3.75,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,NA,Absent
Batrachyla_leptopus,Anura,Neobatrachia,Batrachylidae,NA,Batrachyla,leptopus,Batrachyla_leptopus_Batrachylidae,21.6,1,1,3.1,3.5,3.3,2.5,2.8,2.65,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,NA,Absent
Batrachyla_taeniata,Anura,Neobatrachia,Batrachylidae,NA,Batrachyla,taeniata,Batrachyla_taeniata_Batrachylidae,29.3,3,1.4422495703074083,4.3,4.3,4.3,3.6,3.8,3.7,Ground-dwelling,Nocturnal,Ground,Free-living larvae,NA,Absent
Batrachyla_taeniata,Anura,Neobatrachia,Batrachylidae,NA,Batrachyla,taeniata,Batrachyla_taeniata_Batrachylidae,28.8,2,1.2599210498948732,4.5,4.8,4.65,4,3.8,3.9,Ground-dwelling,Nocturnal,Ground,Free-living larvae,NA,Absent
Batrachyla_taeniata,Anura,Neobatrachia,Batrachylidae,NA,Batrachyla,taeniata,Batrachyla_taeniata_Batrachylidae,26.8,2,1.2599210498948732,4.1,4.6,4.35,3.6,3.5,3.55,Ground-dwelling,Nocturnal,Ground,Free-living larvae,NA,Absent
Batrachyla_taeniata,Anura,Neobatrachia,Batrachylidae,NA,Batrachyla,taeniata,Batrachyla_taeniata_Batrachylidae,33.8,4,1.5874010519681994,4.4,4.4,4.4,3.7,3.7,3.7,Ground-dwelling,Nocturnal,Ground,Free-living larvae,NA,Absent
Boana_fasciata,Anura,Neobatrachia,Hylidae,Cophomantinae,Boana,fasciata,Hypsiboas_fasciatus_Hylidae,33.8,3,1.4422495703074083,6,5.9,5.95,4.4,4.7,4.550000000000001,Scansorial,Nocturnal,Lentic water,Free-living larvae,Lentic water,NA
Boana_fasciata,Anura,Neobatrachia,Hylidae,Cophomantinae,Boana,fasciata,Hypsiboas_fasciatus_Hylidae,42.8,6,1.8171205928321397,6,6.3,6.15,4.6,4.8,4.699999999999999,Scansorial,Nocturnal,Lentic water,Free-living larvae,Lentic water,NA
Boana_fasciata,Anura,Neobatrachia,Hylidae,Cophomantinae,Boana,fasciata,Hypsiboas_fasciatus_Hylidae,34.4,2.3,1.3200061217959123,5.5,5,5.25,4.3,4.4,4.35,Scansorial,Nocturnal,Lentic water,Free-living larvae,Lentic water,NA
Bombina_microdeladigitora,Anura,Archaeobatrachia,Bombinatoridae,NA,Bombina,microdeladigitora,Bombina_fortinuptialis_Bombinatoridae,80.3,64,3.9999999999999996,9.2,9.5,9.35,6.8,7.2,7,Semiaquatic,Diurnal,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_microdeladigitora,Anura,Archaeobatrachia,Bombinatoridae,NA,Bombina,microdeladigitora,Bombina_fortinuptialis_Bombinatoridae,75.6,49,3.6593057100229713,9.9,8.5,9.2,6.6,6.7,6.65,Semiaquatic,Diurnal,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_microdeladigitora,Anura,Archaeobatrachia,Bombinatoridae,NA,Bombina,microdeladigitora,Bombina_fortinuptialis_Bombinatoridae,75.3,47,3.6088260801386944,8.3,8,8.15,6.2,6,6.1,Semiaquatic,Diurnal,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_microdeladigitora,Anura,Archaeobatrachia,Bombinatoridae,NA,Bombina,microdeladigitora,Bombina_fortinuptialis_Bombinatoridae,75.2,45,3.5568933044900626,8,8,8,5.6,6.1,5.85,Semiaquatic,Diurnal,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_orientalis,Anura,Archaeobatrachia,Bombinatoridae,NA,Bombina,orientalis,Bombina_orientalis_Bombinatoridae,46,6,1.8171205928321397,6.5,5.7,6.1,4.4,5,4.7,Semiaquatic,Both,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_orientalis,Anura,Archaeobatrachia,Bombinatoridae,NA,Bombina,orientalis,Bombina_orientalis_Bombinatoridae,41.1,6,1.8171205928321397,5.2,5.3,5.25,4.4,4.3,4.35,Semiaquatic,Both,Lentic water,Free-living larvae,Lentic water,Absent
Bombina_orientalis,Anura,Archaeobatrachia,Bombinatoridae,NA,Bombina,orientalis,Bombina_orientalis_Bombinatoridae,41.2,4,1.5874010519681994,6.2,5.3,5.75,4.5,3.9,4.2,Semiaquatic,Both,Lentic water,Free-living larvae,Lentic water,Absent
Brachycephalus_ephippium,Anura,Neobatrachia,Brachycephalidae,NA,Brachycephalus,ephippium,Brachycephalus_ephippium_Brachycephalidae,18.8,1,1,2.6,2.6,2.6,1.9,1.9,1.9,Subfossorial,Diurnal,Ground,No free-living larvae,No larvae,Absent
Brachycephalus_ephippium,Anura,Neobatrachia,Brachycephalidae,NA,Brachycephalus,ephippium,Brachycephalus_ephippium_Brachycephalidae,15.2,0.8,0.9283177667225558,2.5,2.2,2.35,1.7,1.8,1.75,Subfossorial,Diurnal,Ground,No free-living larvae,No larvae,Absent
Brachycephalus_ephippium,Anura,Neobatrachia,Brachycephalidae,NA,Brachycephalus,ephippium,Brachycephalus_ephippium_Brachycephalidae,14.9,0.7,0.8879040017426006,2.4,2.1,2.25,1.7,1.6,1.65,Subfossorial,Diurnal,Ground,No free-living larvae,No larvae,Absent
Breviceps_mossambicus,Anura,Neobatrachia,Brevicipitidae,NA,Breviceps,mossambicus,Breviceps_mossambicus_Brevicipitidae,37.4,12,2.2894284851066637,4.7,4.4,4.550000000000001,3.5,3,3.25,Subfossorial,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Breviceps_mossambicus,Anura,Neobatrachia,Brevicipitidae,NA,Breviceps,mossambicus,Breviceps_mossambicus_Brevicipitidae,42.3,8.2,2.0165296752181043,4.9,4.5,4.7,3.6,3.6,3.6,Subfossorial,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Bufo_bufo,Anura,Neobatrachia,Bufonidae,NA,Bufo,bufo,Bufo_bufo_Bufonidae,61.3,25.2,2.931794417756475,7,6.8,6.9,4.8,4.7,4.75,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Bufo_bufo,Anura,Neobatrachia,Bufonidae,NA,Bufo,bufo,Bufo_bufo_Bufonidae,63.6,26.1,2.9662892813449506,8,7.6,7.8,5.3,4.8,5.05,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
